;obj_regio3;long;obj_street;obj_baseRent;geo_plz;obj_livingSpace;lat;rel_baseRent;culture;s-stations;university;food;nightlife;spareTime;transportations
0;Südvorstadt;12.367475509050035;"Brandvorwerkstra&szlig;e";449,0;4275,0;38,0;51.31917954718799;11,81578947368421;8;0;0;11;3;5;6
1;Neulindenau;12.308628850854303;Mansfelder Weg;485,21;4179,0;70,32;51.335769128666705;6,900028441410695;2;0;0;0;0;1;0
2;Engelsdorf;12.475476585419749;"Querstra&szlig;e ";847,27;4103,0;79,24;51.3347544576297;10,692453306410904;0;0;0;4;1;2;5
3;Gohlis-Nord;12.36387902280009;Norderneyer Weg ;370,0;4157,0;64,0;51.378125158388826;5,78125;0;0;0;4;1;0;4
4;Zentrum-Südost;12.383587200711078;"Stra&szlig;e des 18. Oktober";445,0;4103,0;71,43;51.32821612102798;6,22987540249195;2;1;6;4;4;1;5
5;Südvorstadt;12.375829213998687;"Scharnhorststra&szlig;e 41A WE A.07";999,0;4275,0;93,76;51.319551346701296;10,654863481228668;5;0;2;28;10;6;4
6;Zentrum-Südost;12.385296100616806;"Stra&szlig;e des 18. Oktober";285,0;4103,0;36,15;51.32715002381099;7,883817427385892;2;1;4;3;4;3;4
7;Zentrum;12.373635599970775;"Hainstra&szlig;e";981,0;4109,0;115,43;51.342284992156;8,498657194836698;20;2;11;49;33;13;33
8;Volkmarsdorf;12.408785337305135;Elisabethstr.;527,68;4315,0;65,96;51.344836913704604;8,0;6;0;6;5;4;3;6
9;Zentrum-Süd;12.38164763220196;"Kohlenstra&szlig;e";949,0;4107,0;99,0;51.3267667372429;9,585858585858588;1;1;0;4;4;4;5
10;Thekla;12.431727846856226;"Tauchaer Stra&szlig;e";443,0;4349,0;59,09;51.3799154986805;7,497038415975631;0;0;1;4;2;1;2
11;Gohlis-Nord;12.361664563786206;Wangerooger Weg;370,0;4157,0;65,0;51.37876266060041;5,6923076923076925;0;0;0;4;1;0;3
12;Zentrum-Nordwest;12.358089328714659;"Waldstra&szlig;e";1530,0;4105,0;145,93;51.343325149194;10,484478859727266;2;0;7;17;4;2;5
13;Südvorstadt;12.37693956123868;"Bernhard-G&ouml;ring-Stra&szlig;e";699,0;4275,0;66,0;51.319894346831894;10,590909090909092;4;0;1;25;10;5;4
