timestamp;URL;beschreibung;evt_count_pm_sig;ga_cd_application_requirements;ga_cd_cxp_historicallisting;ga_cd_developer_virtualreality;ga_cd_maillead_default_shown;ga_cd_via;geo_bln;geo_krs;geo_land;geo_plz;lat;long;obj_ExclusiveExpose;obj_assistedLiving;obj_balcony;obj_barrierFree;obj_baseRent;obj_baseRentRange;obj_cId;obj_cellar;obj_condition;obj_cwId;obj_depositLink;obj_energyEfficiencyClass;obj_energyType;obj_firingTypes;obj_floor;obj_galleryAd;obj_garden;obj_groupnumber;obj_hasKitchen;obj_heatingCosts;obj_heatingType;obj_houseNumber;obj_immotype;obj_interiorQual;obj_ityp;obj_lastRefurbish;obj_lift;obj_livingSpace;obj_livingSpaceRange;obj_nbp;obj_newlyConst;obj_noParkSpaces;obj_noRooms;obj_noRoomsRange;obj_numberOfFloors;obj_objectnumber;obj_petsAllowed;obj_picture;obj_picturecount;obj_pricetrend;obj_pricetrendbuy;obj_pricetrendrent;obj_project_id;obj_regio1;obj_regio2;obj_regio3;obj_scoutId;obj_serviceCharge;obj_street;obj_streetPlain;obj_telekomDownloadSpeed;obj_telekomHdTelephone;obj_telekomHybridDownloadSpeed;obj_telekomHybridUploadSpeed;obj_telekomInternet;obj_telekomInternetProductAvailable;obj_telekomInternetProductName;obj_telekomInternetServices;obj_telekomInternetTechnology;obj_telekomInternetType;obj_telekomInternetUrl;obj_telekomInternetUrlMobile;obj_telekomTrackingGroup;obj_telekomTvOffer;obj_telekomUploadSpeed;obj_thermalChar;obj_totalRent;obj_typeOfFlat;obj_yearConstructed;obj_yearConstructedRange;obj_zipCode
2020-01-01 15:08:05.833206;/expose/85615064;"['Das meiste Grün direkt vor der Haustür bietet der Stadtteil Schönau. Das Naherholungsgebiet Schönauer Park und das angrenzende Naturschutzgebiet rund um die Grünauer Lachen prägen dieses idyllische Viertel. Das Objekt ist in einem sehr gepflegten Wohnumfeld gelegen. Die Anbindung an Bus- und Straßenbahn ist leicht erreichbar. Es gibt in unmittelbarer Umgebung Einkaufsmöglichkeiten des täglichen Bedarfs, gastronomische und medizinische Einrichtungen, Fachgeschäfte, Banken, Kindertagesstätten, Schulen und das nahe gelegene ""PEP Einkaufszentrum"".', 'Kleine Familie mit viel Platzbedarf? Dann sind Sie hier genau richtig! Das schöne Wohnzimmer mit dem angrenzenden 6-Meter-Balkon überzeugt schon fast alleine. Für Kinder finden Sie einen schönen geschlossenen Hof mit ausreichend Spielmöglichkeiten. Bei Interesse rufen Sie an oder kommen Sie dienstags in der Zeit von 15-18 Uhr in unsere Außenstelle Grünau, Am Schwalbennest 7. Wir freuen uns auf Sie!']";showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04205;51,32401273236078;12,285794564724648;false;n;y;n;415;3;5415305;y;refurbished;001.5415305;n;;;no_information;5;disabled;n;;n;100;;85;wohnung_miete;no_information;0,active;;n;87.88;4;;n;;3;3;6;131.4.12__3325--63;yes;https://pictures.immobilienscout24.de/listings/18cf8e94-43d1-434f-9610-0fdf95c1bb7f-1336351549.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;9;3.64;;;;Sachsen;Leipzig;Schönau;85615064;120;"Sch&ouml;nauer Ring";Schönauer_Ring;16 MBit/s;true;50 MBit/s;10 MBit/s;50 MBit/s;true;MagentaZuhause M Hybrid (2);web,email,bank,music,dl-ul,game,sd,mltstr,hd;über Hybrid;WITH_HYBRID;https://padlock.link/mmhy2;https://padlock.link/mmh2sa;telekom_layer_magenta_m_hybrid2;ONE_YEAR_FREE;2,4 MBit/s;;;apartment;1981;4;04205
2020-01-01 15:08:06.453463;/expose/98050012;['kernsaniertes Jugendstilhaus', 'Parkett/Laminat, Bad mit Badewanne, Einbauküche, Spots im Flur und Bad, große Südwest Dachterrasse', 'Schleußig, sehr gute Verkehrsanbindung, Parknähe'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04229;51,32578643228677;12,343736215450853;false;n;y;n;499;3;17580313;y;well_kept;002.01008303109;y;NO_INFORMATION;energy_consumption;gas;4;;y;;y;;central_heating;7;wohnung_miete;normal;0,active;1999;n;63.45;3;;n;;2;2;4;20514/20014;negotiable;https://pictures.immobilienscout24.de/listings/b79ae718-8045-4676-8f84-669683943a37-1149734991.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;13;4.46;15.67;4.46;;Sachsen;Leipzig;Schleußig;98050012;133;"Brockhausstra&szlig;e";Brockhausstraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;74;632;roof_storey;1899;1;04229
2020-01-01 15:08:07.069942;/expose/113361915;"['Ab 01.03.2020 stehen in diesem Gebäude insgesamt 24 Wohneinheiten zwischen 80 - 105m² Wohnfläche zur Vermietung, welche durch Ihre gut durchdachten Grundrisse ebenso wie durch Ihre elegante Ausstattung überzeugen. Zu jeder Wohnung wird ein Stellplatz in unserer Tiefgarage zur Verfügung stehen, welcher durch einen PKW-Aufzug erreichbar sein wird. \nDAS OBJEKT BEFINDET SICH AKTUELL NOCH IM BAU! DIE ABBILDUNGEN ZEIGEN DAHER UNVERBINDLICHE VISUALISIERUNGEN DER WOHNUNGEN - TEILWEISE AUS REFERENZWOHNUNGEN IM OBJEKT!', '* NEUBAU * Parkettboden / Dielenboden * Fußbodenheizung * Bad mit Wanne und bodengleicher Dusche * Gäste-WC * hochwertiges Fliesendesign *\n* Wohnzimmer mit offener Küche * Loggia / Balkon / Terrasse * Außenraffstores * Hauswirtschaftsraum * Kellerabteil * Videogegensprechanlage * Aufzug * Tiefgaragenstellplatz * Versorgung mit Heizung und Warmwasser durch eine effiziente Fernwärmeanlage *\n\n***DIE BILDER STAMMEN AUS EINER GRUNDRISSÄHNLICHEN ETAGEN-WOHNUNG***', 'Willkommen in der beliebten Südvorstadt! Durch ihren bunten Mix aus Familien, Studenten und auch Kulturellen sowie durch ihre Nähe zum historischen Stadtzentrum mit zahlreichen Museen und Ausstellungen ist die Südvortsadt eine der beliebtesten Wohngegenden Leipzigs. Grund- und Mittelschule, Gymnasium sowie ärztliche Versorgungsstätten befinden sich im nahen Umkreis. Die Anbindung an öffentliche Verkehrsmittel sowie die B2 mit Anbindung zur A38 sind optimal und man gelangt in nur wenigen Minuten zu attraktiven Ausflugszielen, wie z. B. den Cospudner See und den Markkleeberger See, welche durch Ihre zahlreichen Wassersport- und Freizeitenangebote locken. Erholung und Entspannung bieten der angrenzende Clara-Zetkin-Park, der Johannapark sowie der Auwald. Die für ihre urigen Gaststätten und kleinen Cafés bekannte ""KarLi"" verdeutlicht den Gästen und Besuchern das besondere Flair dieses Stadtteils.']";showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04275;51,3196626407593;12,376199172914458;false;n;y;y;920;6;8475575;y;first_time_use;001.8475575;y;B;energy_required;district_heating;5;;n;;n;;central_heating;37;wohnung_miete;sophisticated;0,active;;y;80;3;true;n;1;3;3;6;L-Scha37-WE20;no_information;https://pictures.immobilienscout24.de/listings/ed9ed874-3875-4a75-b6b7-d27415881cde-1339153538.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;24;4.47;16.11;4.47;85066;Sachsen;Leipzig;Südvorstadt;113361915;184;"Scharnhorststra&szlig;e";Scharnhorststraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;59.5;1104;roof_storey;2017;9;04275
2020-01-01 15:08:07.552734;/expose/114842588;"['Streifen Sie mit uns durch Mockau. Erleben Sie moderne Wohnungen inmitten eines\xa0großzügigen Umfeldes voller Grün. Ganz in der Nähe laden die Parthenaue, ein Reiterhof, die Kletteranlage im Mockauer Wasserturm und das Naturbad ""Bagger"" zu Freizeitaktivitäten ein. Das Mockau-Center bietet Ihnen Einkaufsmöglichkeiten, die Sie bequem zu Fuß erreichen. Aber auch zur Innenstadt von Leipzig ist es nicht\xa0weit. Im Nordosten liegen zudem gewerbliche Ansiedlungen, wie der Gewerbe- und Industriepark Nordost, die Neue Messe und das BMW-Werk. Verkehrsanbindung: Straßenbahnlinien 1, 9; Buslinien: 70, 81, 81, 82', 'gute Verkehrsanbindung Bus,gute Einkaufsmöglichkeiten']";showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04357;51,37761404097765;12,40121703059905;true;n;y;n;381.23;2;17773;n;refurbished;001.17773;y;;;no_information;0;disabled;n;;n;70.38;central_heating;49;wohnung_miete;no_information;0,active;;n;58.65;2;;n;;3;3;3;1000.00013106.00001014;negotiable;https://pictures.immobilienscout24.de/listings/c7e0165c-8a40-4216-86a0-aac48662e5da-1342910517.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;2;2.58;15.61;2.58;;Sachsen;Leipzig;Mockau_Nord;114842588;64.52;Rosenowstr.;Rosenowstr.;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;516.13;ground_floor;1931;1;04357
2020-01-01 15:08:08.056776;/expose/70618198;['kleines Mehrfamilienhaus mit 6 \r\n2 Raumwohnungen', 'Boden  Laminat \r\nBad mit Wanne und Fenster'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04349;51,3836149798001;12,452539440289373;false;n;y;n;250;1;591644;y;modernized;001.591644;y;;;;2;;y;1;y;80;central_heating;276;wohnung_miete;normal;0,active;;n;45;2;;n;;2;2;3;t9;negotiable;https://pictures.immobilienscout24.de/listings/1dabbf58-27c9-4429-a173-07cc358ecda0-771409691.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;3.56;13.6;3.56;;Sachsen;Leipzig;Plaußig_Portitz;70618198;140;Tauchaer Str;Tauchaer_Str;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;390;apartment;1900;1;04349
2020-01-01 15:08:09.209029;/expose/90164772;"['Das meiste Grün direkt vor der Haustür bietet der Stadtteil Schönau. Das Naherholungsgebiet Schönauer Park und das angrenzende Naturschutzgebiet rund um die Grünauer Lachen prägen dieses idyllische Viertel. Das Objekt ist in einem sehr gepflegten Wohnumfeld gelegen. Die Anbindung an Bus- und Straßenbahn ist leicht erreichbar. Es gibt in unmittelbarer Umgebung Einkaufsmöglichkeiten des täglichen Bedarfs, gastronomische und medizinische Einrichtungen, Fachgeschäfte, Banken, Kindertagesstätten, Schulen und das nahe gelegene ""PEP Einkaufszentrum"".', 'Schöne, große 3-Raum-Wohnung in kinderfreundlicher Wohnanlage. Hier können Sie Ihrer Phanthasie beim Einrichten freien Lauf lassen. Der Grundriss ist sehr individuell und das Wohnzimmer ist schön groß. Vor Neubezug richten wir Ihnen die Wohnung bezugsfertig vor und statten sie mit neuem Bodenbelag aus. Bitte beachten Sie, dass der früheste Einzug durch die Sanierung der 01.02.2019 ist!!!. Haben wir Ihr Interesse geweckt, dann vereinbaren Sie mit uns einen Besichtigungstermin. Wir freuen uns auf Sie!']";showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04205;51,32401273236078;12,285794564724648;false;n;y;n;415;3;5415305;y;no_information;001.5415305;n;;;no_information;4;disabled;n;;n;88;;85;wohnung_miete;no_information;0,active;;n;87.88;4;;n;;3;3;6;131.4.10__3323--63;yes;https://pictures.immobilienscout24.de/listings/c32c4275-090c-4b72-9dde-18b9a99e8f16-1174583738.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;4;3.27;14.28;3.27;;Sachsen;Leipzig;Schönau;90164772;89;"Sch&ouml;nauer Ring";Schönauer_Ring;16 MBit/s;true;50 MBit/s;10 MBit/s;50 MBit/s;true;MagentaZuhause M Hybrid (2);web,email,bank,music,dl-ul,game,sd,mltstr,hd;über Hybrid;WITH_HYBRID;https://padlock.link/mmhy2;https://padlock.link/mmh2sa;telekom_layer_magenta_m_hybrid2;ONE_YEAR_FREE;2,4 MBit/s;;;apartment;1981;4;04205
2020-01-01 15:08:09.781307;/expose/114647361;['Unsere sanierte Wohnanlage aus den 30er Jahren befindet sich mitten im Grünen zwischen dem Volkspark Kleinzschocher (ein Stadtpark im Leipziger Südwesten) und dem Kulturpark Clara Zetkin. Eine Bushaltestelle liegt direkt vor der Haustür, Einkaufsmöglichkeiten sind fußläufig erreichbar. Der idyllische und großflächige Innnenhofbereich wird durch unsere Bewohner und Hausmeister mit viel Liebe und Engagement stets verschönert und bietet somit Gelegenheit zum Entspannen oder geselligen Beisammensein.', 'Die gemütliche 2-Raumwohnung liegt in begehrter und ruhiger Lage und im beliebten 2. Obergeschoss. Bad und Küche sind mit einem Fenster ausgestattet. Man gelangt von der Küche aus auf den offenen Balkon zum ruhigen und grünen Innenhof. Bevor Sie einziehen, wird die Wohnung teilsaniert. Dies nimmt ca. 6 Wochen ab Vertragsunterzeichnung in Anspruch. Bei dem Grundriss handelt es sich um einen Beispielgrundriss!!!'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04229;51,3209542553595;12,334575395052388;false;n;y;n;410;3;5415305;y;no_information;001.5415305;n;;;no_information;2;disabled;n;;n;70;;76;wohnung_miete;no_information;0,active;;n;62.21;3;;n;;2;2;4;148.6.6__3902--63;negotiable;https://pictures.immobilienscout24.de/listings/b2a56b41-663b-42a7-8c80-79a31d08c2fd-1336351551.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;4.56;15.1;4.56;;Sachsen;Leipzig;Plagwitz;114647361;70;Erich-Zeigner-Allee;Erich-Zeigner-Allee;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;;apartment;1949;1;04229
2020-01-01 15:08:10.278490;/expose/114842623;['Sie wollen in einen grünen und belebten Teil von Leipzig ziehen? Dann sind Sie bei uns in Grünau Mitte genau richtig. Grünau überzeugt durch eine sehr gute Infrastruktur und Verkehrsanbindung von Bus, S-Bahn und Straßenbahn. \nSenioren, Familien, Kinder, Jugendliche und Paare können im Wohngebiet eine große Vielfalt und abwechslungsreiche Tage verbringen. In kurzer Zeit erreichen Sie Erholungsgebiete wie den Robert-Koch-Park oder den Kulkwitzer See. \nIn Ihrer Umgebung finden Sie Kino, Schwimmbad, Allee-Center, Wochenmärkte, Einkaufsmöglichkeiten, Schulen, Sportanlagen, Ärzte und vieles mehr. \nDie Wohnung erreichen Sie problemlos über eine Außenrampe und Aufzüge im Haus.', 'gute Verkehrsanbindung Bus, Bahn und S-Bahn,gute Einkaufsmöglichkeiten'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04209;51,3167892900103;12,290598102185557;true;n;n;n;287.96;1;17773;n;refurbished;001.17773;y;;;no_information;8;disabled;n;;n;74.08;central_heating;17;wohnung_miete;no_information;0,active;;y;64.71;3;;n;;3;3;16;1000.00062601.00001069;negotiable;https://pictures.immobilienscout24.de/listings/31320f4f-70b4-4d97-8c41-ab2e5ebea202-1342911249.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;5;3.28;10.05;3.28;;Sachsen;Leipzig;Grünau_Mitte;114842623;84.96;Stuttgarter Allee;Stuttgarter_Allee;50 MBit/s;true;;;50 MBit/s;true;MagentaZuhause M;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/mm;https://padlock.link/iomm;telekom_layer_magenta_m;ONE_YEAR_FREE;10 MBit/s;;447;no_information;1981;4;04209
2020-01-01 15:08:10.860944;/expose/110600224;"['Die Seele baumeln lassen.\nMit Nachbarn, die sie kennen.\nDie Kinder gut beschützt zu wissen.\nFernab des Trubels der Großstadt.\nLeben in einer Gemeinschaft.\nWerte wie Zusammenhalt und Vertrauen schätzen.\nFreiheit in Ihrem eigenen Zuhause genießen.\nDas Wissen angekommen zu sein.\nHerzlich willkommen in Ihrer neuen Immobilie.\n\nIm denkmalgeschützten Ensemble dieses imposanten Dreiseiten-Hofes entsteht die Wohnung Nr. 01 mit einer Größe von ca. 108 m2 verteilt auf 3 Zimmern und einer Ebene. Zusätzlich zu Ihrem Wohnkomplex steht Ihnen ein Stellplatz auf dem Grundstück zur Verfügung.\n\nDie Wohnung verfügt u. a. über ein Bad mit Wanne und Dusche, einer ca. 11 m2 großen Terrasse und einem Hauswirtschaftsraum.', 'Echtholz-Parkett // Fußbodenheizung mit Einzelraumsteuerung // hochwertige moderne Sanitäranlagen mit Einbau-Downlights // Masterbad mit Doppelwaschbecken, Wanne und Dusche // Videogegensprechanlage // Balkon // Hauswirtschaftsraum', 'Im nordöstlichen Teil von Leipzig erstreckt sich der ruhige und beschauliche Stadtteil Plaußig-Portitz. Trotz des ländlichen Flairs ist der Zugang zu allen wesentlichen Bestandteilen des täglichen Bedarfs gesichert. Sie finden ausreichend Einkaufsmöglichkeiten, Zugang zum\nNahverkehr und zur Autobahn sowie öffentliche Einrichtungen, wie Schulen und Ärzte, in unmittelbarer Nähe. Wieder Zuhause angekommen finden Sie in der Natur und den umliegenden Landschaften und Seen beruhigende Erholung, mit dem guten Gefühl in einer Gemeinschaft eingebunden zu sein. Eben ein unwiderstehlicher Mix aus Freiheit und Halt,\nGemeinschaft und Individualität.', '1)\nHaftungsausschluss: \nDieses Exposé stellt kein verbindliches Angebot dar. Eine Gewähr für die Richtigkeit sämtlicher im Exposé enthaltener Angaben und Abmessungen wird trotz sorgfältiger Bearbeitung von Daten, Bildern und Informationen nicht übernommen. Die ggf. in den Grundrissgrafiken dargestellten Ausstattungen/Einrichtungen und Möbel sind beispielhaft und nicht Bestandteil der Mietsache. Die Zwischenvermietung sowie Mietpreisänderungen bleiben ausdrücklich vorbehalten.\n\n2)\nDie angebotene Wohnung befindet sich in einem denkmalgeschützten Gebäude. Laut EnEV2014 ""sind nach wie vor Baudenkmäler oder Gebäude innerhalb von Ensemble- oder denkmalgeschützten Bereichen von der Energieausweispflicht ausgenommen"".']";showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04349;51,3867356901182;12,449537245176371;false;n;y;n;1026;7;476796;y;first_time_use_after_refurbishment;001.476796;y;;;gas;0;;n;1;n;;floor_heating;3;wohnung_miete;sophisticated;0,active;2019;n;108;5;;n;1;3;3;2;AD03-01;no;https://pictures.immobilienscout24.de/listings/34e9a65d-b018-4bfd-b396-bcd432952b29-1282913858.png/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;10;3.56;13.6;3.56;;Sachsen;Leipzig;Plaußig_Portitz;110600224;302.4;Altes Dorf;Altes_Dorf;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;;1328.4;raised_ground_floor;1864;1;04349
2020-01-01 15:08:11.376669;/expose/90619332;['Neues Kernsaniertes Mehrfamilienhaus in Leipzig Ost zum Zweitbezug. Hochwertig Saniert.', 'Wohnung  5 im 2.Obergeschoss, Balkon, großer Wohn/Essraum, Parkett, Fußbodenheizung, Deckenspots, Moderne hochwertige Ausstattung, Solarunterstützte Wasseraufbereitung. Gäste WC.', 'In Leipzig Ost. Ca. 5km von Innenstadt, gute Verkehrsanbindung.', 'Küche kann käuflich vom Mieter übernommen werden.'];showqualicontactform;profile0;false;;true;top;Sachsen;Leipzig;Deutschland;04315;51,3395954306298;12,408805877084054;false;n;y;n;750;5;5446012;y;refurbished;001.5446012;y;;energy_required;natural_gas_light;3;;n;1;n;90;gas_heating;7;wohnung_miete;sophisticated;0,active;2016;n;88.64;4;;n;;3;3;4;Wiebel7;no;https://pictures.immobilienscout24.de/listings/01fafc65-c7aa-4736-834c-aac8ee5c9ce9-1338505893.jpg/ORIG/resize/118x118%3E/extent/118x118/format/jpg/quality/80;15;4.6;16.5;4.6;;Sachsen;Leipzig;Volkmarsdorf;90619332;90;"Wiebelstra&szlig;e";Wiebelstraße;100 MBit/s;true;;;100 MBit/s;true;MagentaZuhause L;web,email,bank,music,dl-ul,game,sd,mltstr,hd,fast-ul-dl;über VDSL;REGULAR;https://padlock.link/ml;https://padlock.link/ioml;telekom_layer_magenta_l;ONE_YEAR_FREE;40 MBit/s;84;930;other;1900;1;04315
